0.29673,0.41284,0.21639,0.074037
0.40022,0.061846,0.32749,0.21044
0.46557,0.028251,0.30967,0.19651
0.6674,0.083398,0.24907,0.00013984
0.61656,0.076098,0.26554,0.0418
0.54311,0.30074,0.15614,1.0616e-05
0.44342,0.44819,0.10839,2.1358e-06
0.37207,0.5344,0.093524,1.5776e-06
0.32227,0.58532,0.092404,1.4183e-06
0.28719,0.61596,0.096847,1.4355e-06
0.26151,0.63434,0.10414,1.5478e-06
0.24124,0.64422,0.11454,1.7507e-06
0.22313,0.64629,0.13057,2.8271e-06
0.19724,0.64184,0.15663,0.004296
0.21054,0.6479,0.14156,3.1598e-06
0.2145,0.64636,0.13914,2.3244e-06
0.21553,0.63459,0.14988,3.5706e-06
0.20568,0.61161,0.17732,0.0053916
0.23774,0.58989,0.17236,4.5108e-06
0.26054,0.54288,0.19657,1.4625e-05
